title,price,reviews,sold,rating,category
"neence toallitas para los dedos de los oídos para perros y gatos, toallitas limpiadoras de oídos para perros, toallitas desodorizantes para el cuidado de los oídos para gatos y perros, elimina",11.99,162,300+ comprados el mes pasado,4.6,Gatos
"dispositivos de disuasión de ladridos para perros propios o vecinos, ultrasónico, para entrenamiento de perros seguro y eficaz, antiladridos, portátil, uso en interiores y exteriores, naranja",29.99,"2,576",40 K+ comprados el mes pasado,4.5,Perros
"veken fuente de agua de acero inoxidable para gatos, regalos para papá, fuente automática para mascotas de 95 onzas / 2.8 l con 3 filtros de repuesto y 3 esponjas de prefiltro y alfombrilla de",32.99,"8,760",20 K+ comprados el mes pasado,4.3,Gatos
"pet md toallitas para los dedos de los oídos para perros, cobertura extra y diseño grande, con eucalipto y aloe vera para perros, toallitas de limpieza de oídos para mascotas y limpiador de oídos para",18.99,"60,367",8 K+ comprados el mes pasado,4.6,Perros
"polvo de limpieza de dientes de perro, polvo dental para perros y gatos, placa de limpieza de dientes de mascotas, removedor de sarro y mal aliento para perros, limpieza de dientes de perro con",21.99,279,8 K+ comprados el mes pasado,4.6,Gatos
"pretty litter health monitoring - arena para gatos, arena de cristal no aglomerante, (6 libras (paquete de 2), sin perfume)",48.98,544,5 K+ comprados el mes pasado,4.3,Gatos
"fuente de agua para gatos de acero inoxidable: fuentes para mascotas para gatos/perros tazones de agua automáticos para interiores para beber dispensador de agua para animales pequeños, grifo de riego",19.99,277,4 K+ comprados el mes pasado,4.5,Gatos
"60 almohadillas extra grandes para orina de perro de 28 x 34 pulgadas, superabsorbentes, almohadillas desechables para entrenamiento de perros, almohadillas de secado rápido a prueba de fugas para",24.99,165,3 K+ comprados el mes pasado,4.7,Perros
"collar antiladridos inteligente para perros, collar antiladridos automático para perros pequeños de 5 a 15 libras, medianos y grandes, antiladridos con pitido, vibración y 7 sensibilidad ajustable",33.99,609,6 K+ comprados el mes pasado,4.7,Perros
"paquete de 2 silbatos para perros, silbato para perro para dejar de ladrar a los vecinos, silbato ultrasónico ajustable silencioso para perro, silbatos de entrenamiento profesional para perros",9.99,68,,4.8,Perros
