asin,title,price,rating,reviews,sales
B0DS85Q568,"NEENCE Toallitas para los dedos de los oídos para perros y gatos, toallitas limpiadoras de oídos para perros, toallitas desodorizantes para el cuidado de los oídos para gatos y perros, elimina",11.99,4.6,162,300+ comprados el mes pasado
B0DX1R37GZ,"Dispositivos de disuasión de ladridos para perros propios o vecinos, ultrasónico, para entrenamiento de perros seguro y eficaz, antiladridos, portátil, uso en interiores y exteriores, naranja",29.99,4.5,"2,576",40 K+ comprados el mes pasado
B0DQBLSFY8,"Veken Fuente de agua de acero inoxidable para gatos, regalos para papá, fuente automática para mascotas de 95 onzas / 2.8 L con 3 filtros de repuesto y 3 esponjas de prefiltro y alfombrilla de",32.99,4.3,"8,760",20 K+ comprados el mes pasado
B0DZYZ18GP,"Pet MD Toallitas para los dedos de los oídos para perros, cobertura extra y diseño grande, con eucalipto y aloe vera para perros, toallitas de limpieza de oídos para mascotas y limpiador de oídos para",18.99,4.6,"60,367",8 K+ comprados el mes pasado
B0DXF5JLCK,"Polvo de limpieza de dientes de perro, polvo dental para perros y gatos, placa de limpieza de dientes de mascotas, removedor de sarro y mal aliento para perros, limpieza de dientes de perro con",21.99,4.6,279,8 K+ comprados el mes pasado
B0DWDGWDFY,"Pretty Litter Health Monitoring - Arena para gatos, arena de cristal no aglomerante, (6 libras (paquete de 2), sin perfume)",48.98,4.3,544,5 K+ comprados el mes pasado
B0DSFNMG93,"Fuente de agua para gatos de acero inoxidable: fuentes para mascotas para gatos/perros Tazones de agua automáticos para interiores para beber Dispensador de agua para animales pequeños, grifo de riego",19.99,4.5,277,4 K+ comprados el mes pasado
B0DSPXTKS6,"60 almohadillas extra grandes para orina de perro de 28 x 34 pulgadas, superabsorbentes, almohadillas desechables para entrenamiento de perros, almohadillas de secado rápido a prueba de fugas para",24.99,4.7,165,3 K+ comprados el mes pasado
B0DWSBWNZY,"Collar antiladridos inteligente para perros, collar antiladridos automático para perros pequeños de 5 a 15 libras, medianos y grandes, antiladridos con pitido, vibración y 7 sensibilidad ajustable",33.99,4.7,609,6 K+ comprados el mes pasado
B0F8V9Q8QM,"Paquete de 2 silbatos para perros, silbato para perro para dejar de ladrar a los vecinos, silbato ultrasónico ajustable silencioso para perro, silbatos de entrenamiento profesional para perros",9.99,4.8,68,
B0F2FB4JVY,"100 almohadillas grandes para perros y cachorros, almohadillas absorbentes de entrenamiento para orinal de 28 x 30 pulgadas, almohadillas desechables de secado rápido a prueba de fugas para cachorros",29.99,4.5,725,
B0DSPSFD43,"Collar de choque para perros, collar de entrenamiento para perros de 3300 pies con control remoto, IPX7, impermeable, recargable, elegante, moderno, collar de choque para perros pequeños, medianos y",34.99,4.7,242,2 K+ comprados el mes pasado
B0DRFHH1LX,"Collar de choque para perros con control remoto – Collar de entrenamiento recargable para perros, IPX7 impermeable E collar para perros con 4 modos seguros de linterna, pitido de vibración, choque",23.99,4.5,326,3 K+ comprados el mes pasado
B0F2DY53GY,"Spray disuasorio mejorado para gatos, repelente natural seguro para gatos en interiores y exteriores, eficaz ayuda de entrenamiento disuasorio de arañazos para gatos, muebles, sofás",19.99,4.8,128,1 K+ comprados el mes pasado
