category,position,label,title,rating,reviews_count,price
Aves,1,1º MÁS VENDIDO,Kit Incubadora+termostato 110v+ Ventilador12v+ Adapt +higróm,4.4,30,84.900
Aves,2,2º MÁS VENDIDO,Mekkapro Comedero Para Colibríes Para Exteriores Hecho De . Color Rojo,4.9,12,73.000
Aves,3,3º MÁS VENDIDO,Bebedero Pollos Pajaros Gallinas Roro Bebedero Automatico Aves 24pcs,4.0,5,96.700
Aves,4,4º MÁS VENDIDO,Termostato Stc-3028 110-220v Para Incubación,5.0,1,65.300
Aves,5,5º MÁS VENDIDO,Arroba De Mixtura Para Aves - Unidad a $5825,4.7,26,69.900
Aves,6,6º MÁS VENDIDO,Semilla De Girasol 5kg - G - g a $10,5.0,1,53.946
Aves,7,7º MÁS VENDIDO,"Herramientas Incubadora Automática De Huevos, 16 Huevos",,,281.251
Aves,8,8º MÁS VENDIDO,Bebedero Automático Taza Con Conector T En Pvc Diámetro 1/2,4.4,30,61.000
Aves,9,9º MÁS VENDIDO,Bebedero Automático Copa Con Conector T En Pvc Diámetro 1/2,4.5,13,65.000
Aves,10,10º MÁS VENDIDO,Vitagrano Mixtura X 300 G - G - g a $22,5.0,1,6.500
Aves,11,11º MÁS VENDIDO,Bebedero Universal Para Aves Agrofacil,5.0,1,48.900
Aves,12,12º MÁS VENDIDO,Alpiste Sudespet X 5 Und - G - g a $9,5.0,3,20.600
Aves,13,13º MÁS VENDIDO,Para Shaoke Incubadora 7 Huevos Incubadora Ecologica Premium,4.5,2,113.340
Aves,14,14º MÁS VENDIDO,Pinza De Dientes De Cerdo Cortadora De Dientes De Lechones D,,,38.241
Aves,15,15º MÁS VENDIDO,Comedero Gallina Ponedora Agrofacil,,,42.900
Aves,16,16º MÁS VENDIDO,Encubadora Incubadora 16 Huevos Automaticas Ovoscopio De,,,334.521
Aves,17,17º MÁS VENDIDO,Kaytee Forti-diet Pro Health Grano De Alto Calcio Para Pjaro,,,109.887
Aves,18,18º MÁS VENDIDO,"Kaytee Forti - Golosina De Loro, 5 Libras",,,192.302
Aves,19,19º MÁS VENDIDO,"Equipos De Incubación Incubadora De Codornices Palomas,",,,112.416
Caballos,1,1º MÁS VENDIDO,Sal Del Himalaya En Bloque X 2.5kg Aproximadamente,4.8,66,35.000
Caballos,2,2º MÁS VENDIDO,Absorbine Veterinary Liniment Analgesico Topico Dolor Muscul,5.0,2,126.900
Caballos,3,3º MÁS VENDIDO,Red Cell Suplemento Nutricional Equinos X 4lt,5.0,8,270.500
Caballos,4,4º MÁS VENDIDO,Red Cell 946 Ml Para Caballos,5.0,6,130.000
Caballos,5,5º MÁS VENDIDO,"Prueba De Preñez Para Ganado Lyumo, 10 Piezas",,,60.196
Caballos,6,6º MÁS VENDIDO,Generic Trasquiladora Borrego Esquiladora Borregos Maquina,,,399.713
Caballos,7,7º MÁS VENDIDO,Recortadora De Patas Para Mascotas Con Luz Led Para Perros Y,,,24.934
Caballos,8,8º MÁS VENDIDO,Tubo De Inseminación Bovina De Acero A Presión Tipo Resorte,5.0,1,29.930
Caballos,9,9º MÁS VENDIDO,"Oferta De Suplementos: Suplemento Lions Mane Mushroom, 7500",,,184.702
Caballos,10,10º MÁS VENDIDO,Gomitas Prenatales Garden Of Life Con 90 Gomitas De Hierro,,,184.702
Conejos,1,1º MÁS VENDIDO,Jaula Para Conejos Cuy Y A Color Celeste,,,110.000
Conejos,2,2º MÁS VENDIDO,Pelota Interactiva Perro Gato Juguete Recargable Inteligente Color,,,28.900
Conejos,3,3º MÁS VENDIDO,"Pelota Giratoria Inteligente De Silicona Para Mascotas Y Gatos, Usb C, Color Azul",,,26.399
Conejos,4,4º MÁS VENDIDO,Jaula Para Conejos - Espacio Extra Grande Y Facil De Limpiar,,,1.554.895
Conejos,5,5º MÁS VENDIDO,"Cage Para Cobayas Midwest, 47l X 24w X 14h, Habitat Plus",,,768.900
Correas para Mascotas,1,1º MÁS VENDIDO,"Correa Larga De 10 Mt Para Mascota, Seguridad,perros Y Gatos",4.4,43,22.900
Correas para Mascotas,2,2º MÁS VENDIDO,Correa Manos Libres Con Canguro Para Correr Perro Mascota,4.9,50,95.000
Correas para Mascotas,3,3º MÁS VENDIDO,Correa Larga Lazo Perro Reflectiva 1.6m Agarre Acolchado,5.0,24,24.000
Correas para Mascotas,4,4º MÁS VENDIDO,Correa Para Perros Gruesa Trailla Lazo Reflectivo Mango Goma,4.7,146,37.000
