price_level,rating_level,discount,category,marketplace,sold_level
Bajo,Medio,36.0,Perros,AliExpress,Medio
Bajo,Medio,8.0,Perros,AliExpress,Medio
Bajo,Medio,25.0,Peces,AliExpress,Bajo
Alto,Medio,31.0,Peces,AliExpress,Medio
Bajo,Medio,64.0,Peces,AliExpress,Medio
Medio,Alto,59.0,Peces,AliExpress,Medio
Bajo,Medio,63.0,Perros,AliExpress,Medio
Bajo,Alto,60.0,Perros,AliExpress,Medio
Bajo,Medio,64.0,Perros,AliExpress,Bajo
Medio,Alto,59.0,Peces,AliExpress,Bajo
Bajo,Medio,30.0,Perros,AliExpress,Medio
Medio,Alto,59.0,Perros,AliExpress,Bajo
Bajo,Bajo,64.0,Gatos,AliExpress,Medio
Medio,Medio,59.0,Peces,AliExpress,Bajo
Medio,Medio,60.0,Perros,AliExpress,Bajo
Medio,Bajo,60.0,Perros,AliExpress,Medio
Medio,Bajo,61.0,Peces,AliExpress,Medio
Bajo,Bajo,58.0,Perros,AliExpress,Bajo
Bajo,Alto,51.0,Gatos,AliExpress,Medio
Bajo,Medio,62.0,Perros,AliExpress,Medio
Medio,Medio,61.0,Peces,AliExpress,Bajo
Medio,Medio,60.0,Perros,AliExpress,Bajo
Alto,Bajo,58.0,Peces,AliExpress,Bajo
Bajo,Medio,59.0,Perros,AliExpress,Medio
Medio,Bajo,60.0,Jaulas para Mascotas,AliExpress,Medio
Bajo,Alto,63.0,Perros,AliExpress,Medio
Medio,Bajo,61.0,Gatos,AliExpress,Bajo
Bajo,Medio,31.0,Perros,AliExpress,Bajo
Medio,Bajo,58.0,Perros,AliExpress,Medio
Bajo,Medio,8.0,Perros,AliExpress,Medio
Alto,Medio,31.0,Peces,AliExpress,Medio
Bajo,Medio,64.0,Peces,AliExpress,Medio
Medio,Alto,59.0,Peces,AliExpress,Medio
Bajo,Medio,63.0,Perros,AliExpress,Medio
Bajo,Alto,60.0,Perros,AliExpress,Medio
Medio,Alto,59.0,Peces,AliExpress,Bajo
Medio,Alto,59.0,Perros,AliExpress,Bajo
Bajo,Bajo,64.0,Gatos,AliExpress,Medio
Medio,Medio,59.0,Peces,AliExpress,Bajo
Medio,Medio,60.0,Perros,AliExpress,Bajo
Medio,Bajo,60.0,Perros,AliExpress,Medio
Medio,Bajo,61.0,Peces,AliExpress,Medio
Bajo,Bajo,58.0,Perros,AliExpress,Bajo
